Date,Close
3/3/15,81.58
3/4/15,85.49
3/5/15,86.1
3/6/15,84.4
3/9/15,82.53
3/10/15,82.97
3/11/15,81.99
3/12/15,81.92
3/13/15,81.86
3/16/15,84
3/17/15,84.5
3/18/15,84.59
3/19/15,85.74
3/20/15,85.2
3/23/15,84.25
3/24/15,83.63
3/25/15,83.75
3/26/15,84.17
3/27/15,84.58
3/30/15,83.9
3/31/15,83.24
4/1/15,82.36
4/2/15,82.28
4/6/15,81.82
4/7/15,82.21
4/8/15,85.39
4/9/15,86.14
4/10/15,84.58
4/13/15,84.28
4/14/15,85
4/15/15,84.67
4/16/15,84.06
4/17/15,81.9
4/20/15,82.2
4/21/15,82.42
4/22/15,82.05
4/23/15,82.28
4/24/15,84.57
4/27/15,84.9
4/28/15,85.08
4/29/15,82.45
4/30/15,81.29
5/1/15,81.17
5/4/15,80.59
5/5/15,79.54
5/6/15,80
5/7/15,86
5/8/15,87.06
5/11/15,86.72
5/12/15,86.77
5/13/15,87.53
5/14/15,88.4
5/15/15,88.46
5/18/15,87.11
5/19/15,88.21
5/20/15,90.7
5/21/15,93.88
5/22/15,93.27
5/26/15,92.52
5/27/15,92.6
5/28/15,90.95
5/29/15,89.32
6/1/15,90.78
6/2/15,90.51
6/3/15,90.79
6/4/15,90.59
6/5/15,90.71
6/8/15,88.29
6/9/15,87.58
6/10/15,88.9
6/11/15,87.21
6/12/15,86.63
6/15/15,86.12
6/16/15,86.09
6/17/15,86.8
6/18/15,86.75
6/19/15,85.74
6/22/15,85.68
6/23/15,85.08
6/24/15,85.17
6/25/15,85.24
6/26/15,83.28
6/29/15,81.07
6/30/15,82.27
7/1/15,82.46
7/2/15,82.07
7/6/15,80.23
7/7/15,79.62
7/8/15,77.94
7/9/15,79.04
7/10/15,80.3
7/13/15,81.86
7/14/15,81.5
7/15/15,80.73
7/16/15,81.53
7/17/15,83.36
7/20/15,82.67
7/21/15,82.54
7/22/15,84.15
7/23/15,83.88
7/24/15,83.02
7/27/15,81.4
7/28/15,80.56
7/29/15,80.26
7/30/15,79.96
7/31/15,78.34
8/3/15,77.99
8/4/15,78.87
8/5/15,79.82
8/6/15,78.96
8/7/15,78.82
8/10/15,80.47
8/11/15,77.34
8/12/15,73.38
8/13/15,75.11
8/14/15,74.76
8/17/15,75.19
8/18/15,73.88
8/19/15,73.12
8/20/15,70.32
8/21/15,68.18
8/24/15,65.8
8/25/15,68.57
8/26/15,68.66
8/27/15,70.84
8/28/15,70.07
8/31/15,66.12
9/1/15,64.83
9/2/15,65.54
9/3/15,66.47
9/4/15,63.91
9/8/15,60.91
9/9/15,64.04
9/10/15,63.83
9/11/15,64.63
9/14/15,62.6
9/15/15,64.85
9/16/15,67.23
9/17/15,66
9/18/15,65.75
9/21/15,63.9
9/22/15,61.9
9/23/15,60
9/24/15,59.92
9/25/15,59.24
9/28/15,57.39
9/29/15,57.82
9/30/15,58.97
10/1/15,58.87
10/2/15,63.2
10/5/15,63.93
10/6/15,63.92
10/7/15,66.28
10/8/15,67.7
10/9/15,68.71
10/12/15,70.3
10/13/15,69.68
10/14/15,68.54
10/15/15,71.78
10/16/15,71.99
10/19/15,72.65
10/20/15,71.79
10/21/15,69.48
10/22/15,70.99
10/23/15,75.62
10/26/15,76.35
10/27/15,79.44
10/28/15,82.35
10/29/15,82.22
10/30/15,83.83
11/2/15,84.35
11/3/15,83.44
11/4/15,85.4
11/5/15,85.38
11/6/15,83.61
11/9/15,81.38
11/10/15,81.43
11/11/15,79.85
11/12/15,78.76
11/13/15,75.85
11/16/15,78.3
11/17/15,78.13
11/18/15,77.69
11/19/15,77.87
11/20/15,79.95
11/23/15,81.31
11/24/15,80.86
11/25/15,81.71
11/27/15,81.38
11/30/15,84.08
12/1/15,84
12/2/15,85
12/3/15,82.59
12/4/15,84.85
12/7/15,84.76
12/8/15,84.38
12/9/15,83.42
12/10/15,84.33
12/11/15,79.74
12/14/15,80.57
12/15/15,82.49
12/16/15,84.63
12/17/15,83.56
12/18/15,82.65
12/21/15,82.87
12/22/15,84.84
12/23/15,84.8
12/24/15,83.71
12/28/15,82.14
12/29/15,83.26
12/30/15,81.68
12/31/15,81.27
1/4/16,76.69
1/5/16,78.63
1/6/16,77.33
1/7/16,72.72
1/8/16,70.8
1/11/16,69.92
1/12/16,72.68
1/13/16,70.29
1/14/16,72.25
1/15/16,69.59
1/19/16,70.13
1/20/16,68.71
1/21/16,70.72
1/22/16,70.37
1/25/16,69.72
1/26/16,69.77
1/27/16,69.54
1/28/16,66.92
1/29/16,67.03
2/1/16,67.03
2/2/16,65.09
2/3/16,63.44
2/4/16,64.86
2/5/16,62.64
2/8/16,61.1
2/9/16,61.39
2/10/16,61.78
2/11/16,60.57
2/12/16,60.89
2/16/16,66.29
2/17/16,66.38
2/18/16,66.52
2/19/16,67.28
2/22/16,68.84
2/23/16,66.97
2/24/16,67.23
2/25/16,66.66
2/26/16,66.91
2/29/16,68.81
3/1/16,70.86
3/2/16,71.25
3/3/16,71.02
3/4/16,72.22
3/7/16,72.89
3/8/16,71.07
3/9/16,72.43
3/10/16,71.97
3/11/16,74.01
3/14/16,73.35
3/15/16,72.23
3/16/16,73.5
3/17/16,74.25
3/18/16,76.25
3/21/16,78.11
3/22/16,78.18
3/23/16,76.56
3/24/16,75.86
3/28/16,76.48
3/29/16,78.08
3/30/16,78.86
3/31/16,79.03
4/1/16,78.73
4/4/16,79.08
4/5/16,77.32
4/6/16,78.68
4/7/16,77.61
4/8/16,77.47
4/11/16,77.71
4/12/16,77.86
4/13/16,79.64
4/14/16,79.61
4/15/16,78.97
4/18/16,79.01
4/19/16,79.46
4/20/16,81.21
4/21/16,80.78
4/22/16,79.89
4/25/16,78.84
4/26/16,78.61
4/27/16,77.65
4/28/16,76.4
4/29/16,76.94
5/2/16,76.61
5/3/16,75.91
5/4/16,75.82
5/5/16,78.83
5/6/16,79.2
5/9/16,79.41
5/10/16,79.72
5/11/16,79.8
5/12/16,79.16
5/13/16,77.16
5/16/16,79.29
5/17/16,79.35
5/18/16,79.03
5/19/16,78.32
5/20/16,78.79
5/23/16,79
5/24/16,81.12
5/25/16,75.59
5/26/16,78.35
5/27/16,80.97
5/31/16,82
6/1/16,76.69
6/2/16,77.3
6/3/16,76.62
6/6/16,78.06
6/7/16,77.84
6/8/16,77.64
6/9/16,77.56
6/10/16,75.92
6/13/16,75.45
6/14/16,77.77
6/15/16,78.39
6/16/16,78.27
6/17/16,77
6/20/16,78.15
6/21/16,78.62
6/22/16,78.73
6/23/16,79.14
6/24/16,76.29
6/27/16,74.23
6/28/16,76.28
6/29/16,78.04
6/30/16,79.53
7/1/16,79.65
7/5/16,78.97
7/6/16,78.64
7/7/16,79.35
7/8/16,78.99
7/11/16,81.46
7/12/16,81.74
7/13/16,80.57
7/14/16,81.74
7/15/16,81.25
7/18/16,82.65
7/19/16,82.77
7/20/16,84.42
7/21/16,84.18
7/22/16,84.49
7/25/16,83.19
7/26/16,83.59
7/27/16,83.1
7/28/16,83.12
7/29/16,82.48
8/1/16,84.34
8/2/16,83.8
8/3/16,83.67
8/4/16,84.75
8/5/16,84.59
8/8/16,85
8/9/16,85.24
8/10/16,87.33
8/11/16,91.77
8/12/16,98.25
8/15/16,97.17
8/16/16,96.66
8/17/16,97
8/18/16,97
8/19/16,96.86
8/22/16,95.65
8/23/16,95.79
8/24/16,93.88
8/25/16,93.94
8/26/16,95.06
8/29/16,94.88
8/30/16,96
8/31/16,97.19
9/1/16,97.42
9/2/16,99.25
9/6/16,103.78
9/7/16,102.32
9/8/16,102.57
9/9/16,99.62
9/12/16,100.8
9/13/16,100.28
9/14/16,102.4
9/15/16,104.45
9/16/16,104.64
9/19/16,103.03
9/20/16,101.45
9/21/16,106
9/22/16,109.36
9/23/16,107.71
9/26/16,105.89
9/27/16,108.26
9/28/16,108.75
9/29/16,105.55
9/30/16,105.79
10/3/16,105.38
10/4/16,105.45
10/5/16,106.96
10/6/16,107.08
10/7/16,106
10/10/16,108.41
10/11/16,105.23
10/12/16,103.62
10/13/16,102.15
10/14/16,101.85
10/17/16,102.84
10/18/16,103.34
10/19/16,103.93
10/20/16,103.85
10/21/16,103.94
10/24/16,104.5
10/25/16,104.22
10/26/16,102.78
10/27/16,102.38
10/28/16,101.93
10/31/16,101.69
11/1/16,101.15
11/2/16,98.51
11/3/16,97.75
11/4/16,97.57
11/7/16,99.35
11/8/16,99.85
11/9/16,96.67
11/10/16,94.34
11/11/16,92.99
11/14/16,89.77
11/15/16,91
11/16/16,92.86
11/17/16,94.07
11/18/16,93.39
11/21/16,93.41
11/22/16,93.21
11/23/16,93.03
11/25/16,93.01
11/28/16,93.76
11/29/16,94.99
11/30/16,94.02
12/1/16,89.86
12/2/16,90.48
12/5/16,90.99
12/6/16,90.4
12/7/16,91.07
12/8/16,92.31
12/9/16,93.28
12/12/16,92.47
12/13/16,92.16
12/14/16,91.19
12/15/16,88.85
12/16/16,88.67
12/19/16,88.93
12/20/16,89.84
12/21/16,89.25
12/22/16,86.8
12/23/16,86.79
12/27/16,87.54
12/28/16,87.37
12/29/16,87.33
12/30/16,87.81
1/3/17,88.6
1/4/17,90.51
1/5/17,94.37
1/6/17,93.89
1/9/17,94.72
1/10/17,96.75
1/11/17,96.94
1/12/17,95.9
1/13/17,96.27
1/17/17,96.12
1/18/17,96
1/19/17,96.17
1/20/17,96.06
1/23/17,98.41
1/24/17,101.43
1/25/17,104.06
1/26/17,102.75
1/27/17,102.07
1/30/17,101.02
1/31/17,101.31
2/1/17,101.57
2/2/17,100.84
2/3/17,100.39
2/6/17,100.9
2/7/17,100.83
2/8/17,103.57
2/9/17,103.34
2/10/17,102.36
2/13/17,103.1
2/14/17,101.59
2/15/17,101.55
2/16/17,100.82
2/17/17,100.52
2/21/17,102.12
2/22/17,104.2
2/23/17,102.46
2/24/17,102.95
2/27/17,103.6
2/28/17,102.9
3/1/17,104.04
3/2/17,103.19
3/3/17,103.31
3/6/17,102.31
3/7/17,102.63
3/8/17,103.22
3/9/17,103.24
3/10/17,103.39
3/13/17,105.18
3/14/17,104.25
3/15/17,103.69
3/16/17,105.63
3/17/17,105.61
3/20/17,107.25
3/21/17,105.09
3/22/17,106.09
3/23/17,108.25
3/24/17,108.04
3/27/17,108.08
3/28/17,107.8
3/29/17,109.51
3/30/17,108.85
3/31/17,107.83
4/3/17,108.09
4/4/17,107.52
4/5/17,107.44
4/6/17,108.04
4/7/17,108.99
4/10/17,111.7
4/11/17,110.44
4/12/17,110.63
4/13/17,110.21
4/17/17,111.76
4/18/17,111.23
4/19/17,110.76
4/20/17,112.96
4/21/17,113.11
