Date,Close
3/3/15,5.05
3/4/15,5.03
3/5/15,5.08
3/6/15,4.96
3/9/15,4.81
3/10/15,4.78
3/11/15,4.8
3/12/15,4.75
3/13/15,4.66
3/16/15,4.82
3/17/15,4.89
3/18/15,4.98
3/19/15,4.89
3/20/15,4.95
3/23/15,4.89
3/24/15,4.83
3/25/15,4.71
3/26/15,4.76
3/27/15,4.9
3/30/15,4.92
3/31/15,5.01
4/1/15,5.02
4/2/15,5.07
4/6/15,4.95
4/7/15,4.97
4/8/15,5.12
4/9/15,5.08
4/10/15,5.08
4/13/15,5.08
4/14/15,5.21
4/15/15,5.26
4/16/15,5.15
4/17/15,5.12
4/20/15,5.07
4/21/15,5.11
4/22/15,5.55
4/23/15,5.36
4/24/15,5.45
4/27/15,5.42
4/28/15,5.11
4/29/15,5.4
4/30/15,6.76
5/1/15,6.9
5/4/15,6.99
5/5/15,6.7
5/6/15,6.6
5/7/15,6.7
5/8/15,6.65
5/11/15,6.72
5/12/15,6.59
5/13/15,6.55
5/14/15,6.47
5/15/15,6.7
5/18/15,6.59
5/19/15,6.63
5/20/15,6.52
5/21/15,6.44
5/22/15,6.55
5/26/15,6.45
5/27/15,6.46
5/28/15,6.45
5/29/15,6.48
6/1/15,6.41
6/2/15,6.53
6/3/15,6.68
6/4/15,6.67
6/5/15,6.71
6/8/15,6.56
6/9/15,6.53
6/10/15,6.54
6/11/15,6.55
6/12/15,6.5
6/15/15,6.5
6/16/15,6.49
6/17/15,6.71
6/18/15,6.59
6/19/15,6.48
6/22/15,6.51
6/23/15,6.63
6/24/15,6.52
6/25/15,6.51
6/26/15,6.38
6/29/15,6.09
6/30/15,6.21
7/1/15,6.2
7/2/15,6.13
7/6/15,6.01
7/7/15,5.98
7/8/15,5.95
7/9/15,6.07
7/10/15,6.04
7/13/15,6.18
7/14/15,6.27
7/15/15,6.09
7/16/15,6.42
7/17/15,6.47
7/20/15,6.39
7/21/15,6.3
7/22/15,6.13
7/23/15,6.14
7/24/15,6.1
7/27/15,5.85
7/28/15,6.1
7/29/15,5.96
7/30/15,5.92
7/31/15,5.87
8/3/15,5.78
8/4/15,5.67
8/5/15,4.5
8/6/15,4.66
8/7/15,4.46
8/10/15,4.69
8/11/15,4.55
8/12/15,4.77
8/13/15,4.66
8/14/15,4.65
8/17/15,4.82
8/18/15,4.7
8/19/15,4.71
8/20/15,4.54
8/21/15,4.37
8/24/15,4.07
8/25/15,4.19
8/26/15,4.2
8/27/15,4.41
8/28/15,4.53
8/31/15,4.59
9/1/15,4.28
9/2/15,4.38
9/3/15,4.46
9/4/15,4.44
9/8/15,4.64
9/9/15,4.48
9/10/15,4.57
9/11/15,4.6
9/14/15,4.55
9/15/15,4.65
9/16/15,4.72
9/17/15,4.73
9/18/15,4.74
9/21/15,4.85
9/22/15,4.78
9/23/15,4.84
9/24/15,4.88
9/25/15,4.65
9/28/15,4.28
9/29/15,4.22
9/30/15,4.37
10/1/15,4.15
10/2/15,4.17
10/5/15,4.36
10/6/15,4.11
10/7/15,4.1
10/8/15,4.04
10/9/15,4.14
10/12/15,4.1
10/13/15,4.09
10/14/15,4.14
10/15/15,4.23
10/16/15,4.28
10/19/15,4.23
10/20/15,4.16
10/21/15,4.09
10/22/15,4.05
10/23/15,4.12
10/26/15,4.23
10/27/15,4.15
10/28/15,4.43
10/29/15,4.19
10/30/15,4.12
11/2/15,3.68
11/3/15,3.84
11/4/15,3.72
11/5/15,3.66
11/6/15,3.22
11/9/15,3.13
11/10/15,3.17
11/11/15,3.17
11/12/15,3.15
11/13/15,3.15
11/16/15,3.19
11/17/15,3.19
