Date,Close
7/23/15,17
7/27/15,20.85
7/28/15,21
7/29/15,21
7/30/15,21
7/31/15,19.7
8/3/15,23.45
8/4/15,21.15
8/5/15,20.56
8/6/15,18.6
8/7/15,19.3
8/10/15,19.01
8/11/15,19.56
8/12/15,19.37
8/13/15,20.6
8/14/15,20.33
8/17/15,21.07
8/18/15,21.44
8/19/15,21.39
8/20/15,21.2
8/21/15,21.25
8/24/15,21.01
8/25/15,20.4
8/26/15,20.41
8/27/15,20.4
8/28/15,19.92
8/31/15,19.74
9/1/15,19.08
9/2/15,18.71
9/3/15,19.31
9/4/15,19.07
9/8/15,17.77
9/9/15,18.79
9/10/15,18.35
9/11/15,17.71
9/14/15,17.57
9/15/15,17.38
9/16/15,16.97
9/17/15,17.25
9/18/15,17.08
9/21/15,17.05
9/22/15,16.81
9/23/15,16.78
9/24/15,16.94
9/25/15,16.98
9/28/15,16.92
9/29/15,16.84
9/30/15,16.95
10/1/15,16.54
10/2/15,15.76
10/5/15,15.59
10/6/15,15.28
10/7/15,15.23
10/8/15,15.18
10/9/15,15.14
10/12/15,14.75
10/13/15,14.69
10/14/15,14.45
10/15/15,14.75
10/16/15,14.47
10/19/15,14.12
10/20/15,14.28
10/21/15,14.5
10/22/15,14.6
10/23/15,14.87
10/26/15,14.83
10/27/15,14.55
10/28/15,14.7
10/29/15,14.51
10/30/15,14.34
11/2/15,14.8
11/3/15,15.38
11/4/15,16.06
11/5/15,16.35
11/6/15,16.07
11/9/15,16.03
11/10/15,16.54
11/11/15,17.95
11/12/15,17.6
11/13/15,17.64
11/16/15,18.19
11/17/15,18.2
11/18/15,18.08
11/19/15,18.24
11/20/15,18.81
11/23/15,19.58
11/24/15,19.75
11/25/15,19.82
11/27/15,20.01
11/30/15,20
12/1/15,20
12/2/15,19.94
12/3/15,19.81
12/4/15,20.32
12/7/15,20.3
12/8/15,20.78
12/9/15,20.11
12/10/15,19.54
12/11/15,20.34
12/14/15,19.75
12/15/15,20.23
12/16/15,21.56
12/17/15,21.82
12/18/15,21.04
12/21/15,21
12/22/15,20.78
12/23/15,21.01
12/24/15,20.78
12/28/15,21.4
12/29/15,22
12/30/15,22.56
12/31/15,22.02
1/4/16,22.33
1/5/16,21.54
1/6/16,21.64
1/7/16,20.55
1/8/16,19.56
1/11/16,19.63
1/12/16,19.58
1/13/16,19.62
1/14/16,19.32
1/15/16,19.41
1/19/16,18.99
1/20/16,18.82
1/21/16,18.81
1/22/16,19.64
1/25/16,19.45
1/26/16,19.98
1/27/16,19.69
1/28/16,19.6
1/29/16,19.73
2/1/16,20.43
2/2/16,21.11
2/3/16,21.78
2/4/16,22.2
2/5/16,23.79
2/8/16,23.56
2/9/16,23
2/10/16,23.97
2/11/16,23.03
2/12/16,23.11
2/16/16,23.81
2/17/16,24.39
2/18/16,24.39
2/19/16,23.87
2/22/16,24.2
2/23/16,24.08
2/24/16,24.26
2/25/16,24.25
2/26/16,24
2/29/16,24.03
3/1/16,24.38
3/2/16,25.29
3/3/16,24.46
3/4/16,24.99
3/7/16,24.56
3/8/16,23.74
3/9/16,24.43
3/10/16,24.47
3/11/16,25.37
3/14/16,25.79
3/15/16,25.18
3/16/16,25.25
3/17/16,26.11
3/18/16,26.08
3/21/16,26.92
3/22/16,26.84
3/23/16,26.71
3/24/16,26.73
3/28/16,26.22
3/29/16,26.48
3/30/16,27.14
3/31/16,26.97
4/1/16,26.58
4/4/16,26.4
4/5/16,26.24
4/6/16,26.62
4/7/16,26.68
4/8/16,27.46
4/11/16,27.2
4/12/16,26.24
4/13/16,26.43
4/14/16,26.98
4/15/16,26.92
4/18/16,25.94
4/19/16,24.82
4/20/16,24.81
4/21/16,25.05
4/22/16,25.62
4/25/16,25.34
4/26/16,24.77
4/27/16,25.69
4/28/16,25.48
4/29/16,25.3
5/2/16,25.5
5/3/16,26
5/4/16,25
5/5/16,24.66
5/6/16,24.47
5/9/16,23.9
5/10/16,23.49
5/11/16,23.72
5/12/16,23.9
5/13/16,23.44
5/16/16,23.18
5/17/16,22.71
5/18/16,23.06
5/19/16,21.71
5/20/16,22.46
5/23/16,22.43
5/24/16,21.98
5/25/16,22.78
5/26/16,23.95
5/27/16,24.42
5/31/16,25.34
6/1/16,25.36
6/2/16,24.49
6/3/16,24.53
6/6/16,25.11
6/7/16,24.86
6/8/16,24.78
6/9/16,24.68
6/10/16,24.53
6/13/16,24.11
6/14/16,24.48
6/15/16,25.81
6/16/16,25.45
6/17/16,24.97
6/20/16,24.89
6/21/16,24.88
6/22/16,24.6
6/23/16,25.2
6/24/16,24.23
6/27/16,22.33
6/28/16,23.53
6/29/16,24.02
