Date,Close
5/21/15,25.68
5/22/15,28.31
5/26/15,29.65
5/27/15,27.5
5/28/15,27.45
5/29/15,27.2
6/1/15,27.33
6/2/15,26.95
6/3/15,27.44
6/4/15,26.78
6/5/15,27.39
6/8/15,26.98
6/9/15,28.34
6/10/15,28.1
6/11/15,30.73
6/12/15,33.63
6/15/15,35.5
6/16/15,38.11
6/17/15,38.63
6/18/15,35.55
6/19/15,35.52
6/22/15,36.94
6/23/15,35.43
6/24/15,35.96
6/25/15,34.84
6/26/15,33.52
6/29/15,31.32
6/30/15,33.95
7/1/15,31.11
7/2/15,31.31
7/6/15,30.53
7/7/15,30.76
7/8/15,29.19
7/9/15,29.06
7/10/15,29.6
7/13/15,30.42
7/14/15,30.86
7/15/15,29.34
7/16/15,29.39
7/17/15,32.27
7/20/15,33.75
7/21/15,33.22
7/22/15,32.14
7/23/15,33.11
7/24/15,33.57
7/27/15,32.87
7/28/15,34.06
7/29/15,34.16
7/30/15,38.13
7/31/15,37.39
8/3/15,40.36
8/4/15,38.41
8/5/15,38.45
8/6/15,36.28
8/7/15,35.16
8/10/15,33.47
8/11/15,35.14
8/12/15,34.73
8/13/15,35.31
8/14/15,34.56
8/17/15,34.41
8/18/15,32.6
8/19/15,31.1
8/20/15,29.22
8/21/15,27.77
8/24/15,26.28
8/25/15,26.93
8/26/15,28.22
8/27/15,28.51
8/28/15,28
8/31/15,27.54
9/1/15,26.6
9/2/15,26.7
9/3/15,27.15
9/4/15,26.81
9/8/15,27.14
9/9/15,26.01
9/10/15,25.77
9/11/15,26.36
9/14/15,27.21
9/15/15,28.11
9/16/15,28.91
9/17/15,35.55
9/18/15,35.66
9/21/15,34.83
9/22/15,33.66
9/23/15,33.5
9/24/15,33.47
9/25/15,33.91
9/28/15,33.05
9/29/15,33.64
9/30/15,35.2
10/1/15,35.07
10/2/15,35.81
10/5/15,36.76
10/6/15,36.21
10/7/15,37.33
10/8/15,38.24
10/9/15,37.02
10/12/15,34.31
10/13/15,33.12
10/14/15,33.64
10/15/15,34.14
10/16/15,34.33
10/19/15,33.36
10/20/15,31.5
10/21/15,31.95
10/22/15,32.01
